Event&Year|Track|Car|Parameter|Event|Scored Time in s|Scored EnergyConsumption in kWh|Scores|
FSA 2015|Endurance_FSA15_Curvature|FSG15e2D|10000|Endurance|24.378698|-|243|
FSA 2015|AutoX_FSA15_Curvature|FSG15e2D|10000|AutoX|0.976201|-|79|
FSA 2015|Skidpad|FSG15e2D|10000|Skidpad|5.171680|-|56|
FSA 2015|Acceleration|FSG15e2D|10000|Acceleration|3.425000|-|55|
FSA 2015|Efficiency_FSA15_Curvature|FSG15e2D|10000|Efficiency|24.378698|6.967791|91|
Overall Points|-|-|10000|-|-|-|526|
FSA 2015|Endurance_FSA15_Curvature|FSG15e2D|10250|Endurance|24.378698|-|243|
FSA 2015|AutoX_FSA15_Curvature|FSG15e2D|10250|AutoX|0.976201|-|79|
FSA 2015|Skidpad|FSG15e2D|10250|Skidpad|5.171680|-|56|
FSA 2015|Acceleration|FSG15e2D|10250|Acceleration|3.425000|-|55|
FSA 2015|Efficiency_FSA15_Curvature|FSG15e2D|10250|Efficiency|24.378698|6.967791|91|
Overall Points|-|-|10250|-|-|-|526|
FSA 2015|Endurance_FSA15_Curvature|FSG15e2D|10500|Endurance|24.378698|-|243|
FSA 2015|AutoX_FSA15_Curvature|FSG15e2D|10500|AutoX|0.976201|-|79|
FSA 2015|Skidpad|FSG15e2D|10500|Skidpad|5.171680|-|56|
FSA 2015|Acceleration|FSG15e2D|10500|Acceleration|3.425000|-|55|
FSA 2015|Efficiency_FSA15_Curvature|FSG15e2D|10500|Efficiency|24.378698|6.967791|91|
Overall Points|-|-|10500|-|-|-|526|
FSA 2015|Endurance_FSA15_Curvature|FSG15e2D|10750|Endurance|24.378698|-|243|
FSA 2015|AutoX_FSA15_Curvature|FSG15e2D|10750|AutoX|0.976201|-|79|
FSA 2015|Skidpad|FSG15e2D|10750|Skidpad|5.171680|-|56|
FSA 2015|Acceleration|FSG15e2D|10750|Acceleration|3.425000|-|55|
FSA 2015|Efficiency_FSA15_Curvature|FSG15e2D|10750|Efficiency|24.378698|6.967791|91|
Overall Points|-|-|10750|-|-|-|526|
FSA 2015|Endurance_FSA15_Curvature|FSG15e2D|11000|Endurance|24.378698|-|243|
FSA 2015|AutoX_FSA15_Curvature|FSG15e2D|11000|AutoX|0.976201|-|79|
FSA 2015|Skidpad|FSG15e2D|11000|Skidpad|5.171680|-|56|
FSA 2015|Acceleration|FSG15e2D|11000|Acceleration|3.425000|-|55|
FSA 2015|Efficiency_FSA15_Curvature|FSG15e2D|11000|Efficiency|24.378698|6.967791|91|
Overall Points|-|-|11000|-|-|-|526|
FSA 2015|Endurance_FSA15_Curvature|FSG15e2D|11250|Endurance|24.378698|-|243|
FSA 2015|AutoX_FSA15_Curvature|FSG15e2D|11250|AutoX|0.976201|-|79|
FSA 2015|Skidpad|FSG15e2D|11250|Skidpad|5.171680|-|56|
FSA 2015|Acceleration|FSG15e2D|11250|Acceleration|3.425000|-|55|
FSA 2015|Efficiency_FSA15_Curvature|FSG15e2D|11250|Efficiency|24.378698|6.967791|91|
Overall Points|-|-|11250|-|-|-|526|
FSA 2015|Endurance_FSA15_Curvature|FSG15e2D|11500|Endurance|24.378698|-|243|
FSA 2015|AutoX_FSA15_Curvature|FSG15e2D|11500|AutoX|0.976201|-|79|
FSA 2015|Skidpad|FSG15e2D|11500|Skidpad|5.171680|-|56|
FSA 2015|Acceleration|FSG15e2D|11500|Acceleration|3.425000|-|55|
FSA 2015|Efficiency_FSA15_Curvature|FSG15e2D|11500|Efficiency|24.378698|6.967791|91|
Overall Points|-|-|11500|-|-|-|526|
FSA 2015|Endurance_FSA15_Curvature|FSG15e2D|11750|Endurance|24.378698|-|243|
FSA 2015|AutoX_FSA15_Curvature|FSG15e2D|11750|AutoX|0.976201|-|79|
FSA 2015|Skidpad|FSG15e2D|11750|Skidpad|5.171680|-|56|
FSA 2015|Acceleration|FSG15e2D|11750|Acceleration|3.425000|-|55|
FSA 2015|Efficiency_FSA15_Curvature|FSG15e2D|11750|Efficiency|24.378698|6.967791|91|
Overall Points|-|-|11750|-|-|-|526|
FSA 2015|Endurance_FSA15_Curvature|FSG15e2D|12000|Endurance|24.378698|-|243|
FSA 2015|AutoX_FSA15_Curvature|FSG15e2D|12000|AutoX|0.976201|-|79|
FSA 2015|Skidpad|FSG15e2D|12000|Skidpad|5.171680|-|56|
FSA 2015|Acceleration|FSG15e2D|12000|Acceleration|3.425000|-|55|
FSA 2015|Efficiency_FSA15_Curvature|FSG15e2D|12000|Efficiency|24.378698|6.967791|91|
Overall Points|-|-|12000|-|-|-|526|
FSA 2015|Endurance_FSA15_Curvature|FSG15e2D|12250|Endurance|24.378698|-|243|
FSA 2015|AutoX_FSA15_Curvature|FSG15e2D|12250|AutoX|0.976201|-|79|
FSA 2015|Skidpad|FSG15e2D|12250|Skidpad|5.171680|-|56|
FSA 2015|Acceleration|FSG15e2D|12250|Acceleration|3.425000|-|55|
FSA 2015|Efficiency_FSA15_Curvature|FSG15e2D|12250|Efficiency|24.378698|6.967791|91|
Overall Points|-|-|12250|-|-|-|526|
FSA 2015|Endurance_FSA15_Curvature|FSG15e2D|12500|Endurance|24.378698|-|243|
FSA 2015|AutoX_FSA15_Curvature|FSG15e2D|12500|AutoX|0.976201|-|79|
FSA 2015|Skidpad|FSG15e2D|12500|Skidpad|5.171680|-|56|
FSA 2015|Acceleration|FSG15e2D|12500|Acceleration|3.425000|-|55|
FSA 2015|Efficiency_FSA15_Curvature|FSG15e2D|12500|Efficiency|24.378698|6.967791|91|
Overall Points|-|-|12500|-|-|-|526|
FSA 2015|Endurance_FSA15_Curvature|FSG15e2D|12750|Endurance|24.378698|-|243|
FSA 2015|AutoX_FSA15_Curvature|FSG15e2D|12750|AutoX|0.976201|-|79|
FSA 2015|Skidpad|FSG15e2D|12750|Skidpad|5.171680|-|56|
FSA 2015|Acceleration|FSG15e2D|12750|Acceleration|3.425000|-|55|
FSA 2015|Efficiency_FSA15_Curvature|FSG15e2D|12750|Efficiency|24.378698|6.967791|91|
Overall Points|-|-|12750|-|-|-|526|
FSA 2015|Endurance_FSA15_Curvature|FSG15e2D|13000|Endurance|24.378698|-|243|
FSA 2015|AutoX_FSA15_Curvature|FSG15e2D|13000|AutoX|0.976201|-|79|
FSA 2015|Skidpad|FSG15e2D|13000|Skidpad|5.171680|-|56|
FSA 2015|Acceleration|FSG15e2D|13000|Acceleration|3.425000|-|55|
FSA 2015|Efficiency_FSA15_Curvature|FSG15e2D|13000|Efficiency|24.378698|6.967791|91|
Overall Points|-|-|13000|-|-|-|526|
FSA 2015|Endurance_FSA15_Curvature|FSG15e2D|13250|Endurance|24.378698|-|243|
FSA 2015|AutoX_FSA15_Curvature|FSG15e2D|13250|AutoX|0.976201|-|79|
FSA 2015|Skidpad|FSG15e2D|13250|Skidpad|5.171680|-|56|
FSA 2015|Acceleration|FSG15e2D|13250|Acceleration|3.425000|-|55|
FSA 2015|Efficiency_FSA15_Curvature|FSG15e2D|13250|Efficiency|24.378698|6.967791|91|
Overall Points|-|-|13250|-|-|-|526|
FSA 2015|Endurance_FSA15_Curvature|FSG15e2D|13500|Endurance|24.378698|-|243|
FSA 2015|AutoX_FSA15_Curvature|FSG15e2D|13500|AutoX|0.976201|-|79|
FSA 2015|Skidpad|FSG15e2D|13500|Skidpad|5.171680|-|56|
FSA 2015|Acceleration|FSG15e2D|13500|Acceleration|3.425000|-|55|
FSA 2015|Efficiency_FSA15_Curvature|FSG15e2D|13500|Efficiency|24.378698|6.967791|91|
Overall Points|-|-|13500|-|-|-|526|
FSA 2015|Endurance_FSA15_Curvature|FSG15e2D|13750|Endurance|24.378698|-|243|
FSA 2015|AutoX_FSA15_Curvature|FSG15e2D|13750|AutoX|0.976201|-|79|
FSA 2015|Skidpad|FSG15e2D|13750|Skidpad|5.171680|-|56|
FSA 2015|Acceleration|FSG15e2D|13750|Acceleration|3.425000|-|55|
FSA 2015|Efficiency_FSA15_Curvature|FSG15e2D|13750|Efficiency|24.378698|6.967791|91|
Overall Points|-|-|13750|-|-|-|526|
FSA 2015|Endurance_FSA15_Curvature|FSG15e2D|14000|Endurance|24.378698|-|243|
FSA 2015|AutoX_FSA15_Curvature|FSG15e2D|14000|AutoX|0.976201|-|79|
FSA 2015|Skidpad|FSG15e2D|14000|Skidpad|5.171680|-|56|
FSA 2015|Acceleration|FSG15e2D|14000|Acceleration|3.425000|-|55|
FSA 2015|Efficiency_FSA15_Curvature|FSG15e2D|14000|Efficiency|24.378698|6.967791|91|
Overall Points|-|-|14000|-|-|-|526|
FSA 2015|Endurance_FSA15_Curvature|FSG15e2D|14250|Endurance|24.378698|-|243|
FSA 2015|AutoX_FSA15_Curvature|FSG15e2D|14250|AutoX|0.976201|-|79|
FSA 2015|Skidpad|FSG15e2D|14250|Skidpad|5.171680|-|56|
FSA 2015|Acceleration|FSG15e2D|14250|Acceleration|3.425000|-|55|
FSA 2015|Efficiency_FSA15_Curvature|FSG15e2D|14250|Efficiency|24.378698|6.967791|91|
Overall Points|-|-|14250|-|-|-|526|
FSA 2015|Endurance_FSA15_Curvature|FSG15e2D|14500|Endurance|24.378698|-|243|
FSA 2015|AutoX_FSA15_Curvature|FSG15e2D|14500|AutoX|0.976201|-|79|
FSA 2015|Skidpad|FSG15e2D|14500|Skidpad|5.171680|-|56|
FSA 2015|Acceleration|FSG15e2D|14500|Acceleration|3.425000|-|55|
FSA 2015|Efficiency_FSA15_Curvature|FSG15e2D|14500|Efficiency|24.378698|6.967791|91|
Overall Points|-|-|14500|-|-|-|526|
FSA 2015|Endurance_FSA15_Curvature|FSG15e2D|14750|Endurance|24.378698|-|243|
FSA 2015|AutoX_FSA15_Curvature|FSG15e2D|14750|AutoX|0.976201|-|79|
FSA 2015|Skidpad|FSG15e2D|14750|Skidpad|5.171680|-|56|
FSA 2015|Acceleration|FSG15e2D|14750|Acceleration|3.425000|-|55|
FSA 2015|Efficiency_FSA15_Curvature|FSG15e2D|14750|Efficiency|24.378698|6.967791|91|
Overall Points|-|-|14750|-|-|-|526|
FSA 2015|Endurance_FSA15_Curvature|FSG15e2D|15000|Endurance|24.378698|-|243|
FSA 2015|AutoX_FSA15_Curvature|FSG15e2D|15000|AutoX|0.976201|-|79|
FSA 2015|Skidpad|FSG15e2D|15000|Skidpad|5.171680|-|56|
FSA 2015|Acceleration|FSG15e2D|15000|Acceleration|3.425000|-|55|
FSA 2015|Efficiency_FSA15_Curvature|FSG15e2D|15000|Efficiency|24.378698|6.967791|91|
Overall Points|-|-|15000|-|-|-|526|
